State,District,Year,Season,Crop,AreaHectares,ProductionTonnes,YieldKgPerHa,IrrigationType,SoilType,FarmerBeneficiaries,MSP,MarketPrice,CropInsuranceCoverage,FertilizerUsageKg,WaterUsageLitres,Status
Delhi,Delhi District 2,2018,Zaid,Sugarcane,41723,89203,2138,Sprinkler,Arid,14423,2184,1967,34.5,204,113550,Harvested
Telangana,Telangana District 8,2022,Zaid,Tomato,45080,31195,692,Rain-fed,Black,9165,1004,868,62.5,209,101930,Harvested
Gujarat,Gujarat District 4,2022,Kharif,Tea,27456,85497,3114,Sprinkler,Alluvial,11769,2090,2505,79.4,116,336449,Standing
Bihar,Bihar District 8,2020,Kharif,Sunflower,39886,52250,1310,Rain-fed,Forest,18882,1609,1790,43.9,116,157476,Harvested
Rajasthan,Rajasthan District 2,2022,Rabi,Mango,20368,66196,3250,Tube Well,Black,8027,1501,1728,40.4,141,487078,Harvested
West Bengal,West District 3,2020,Zaid,Wheat,11104,27893,2512,Drip,Black,6452,3669,4156,75.1,146,271003,Standing
Karnataka,Karnataka District 8,2021,Rabi,Soybean,22992,79943,3477,Rain-fed,Laterite,9356,2446,2252,53.2,94,443685,Harvested
Gujarat,Gujarat District 1,2022,Zaid,Mango,36204,25487,704,Drip,Forest,15512,2329,2729,29.3,179,235544,Harvested
Delhi,Delhi District 8,2018,Zaid,Tea,21093,28095,1332,Sprinkler,Laterite,8858,886,815,50.1,68,252851,Harvested
Jammu & Kashmir,Jammu District 8,2019,Rabi,Jowar,43973,126114,2868,Canal,Red,6419,3686,4588,22.2,212,425269,Harvested
Telangana,Telangana District 3,2020,Zaid,Jowar,33719,73136,2169,Tube Well,Red,5963,3708,4368,43.6,94,384661,Harvested
Delhi,Delhi District 1,2020,Kharif,Potato,3264,11029,3379,Rain-fed,Forest,436,1787,1739,79.0,220,236105,Harvested
Gujarat,Gujarat District 2,2018,Zaid,Wheat,47218,50051,1060,Tube Well,Alluvial,18819,2248,2469,49.0,110,329605,Harvested
Arunachal Pradesh,Arunachal District 7,2022,Zaid,Sugarcane,13394,25274,1887,Sprinkler,Arid,3869,1537,1381,36.6,174,509257,Harvested
Jharkhand,Jharkhand District 2,2023,Zaid,Maize,28284,67881,2400,Drip,Forest,2999,3193,3044,68.2,199,204341,Harvested
Madhya Pradesh,Madhya District 1,2019,Rabi,Banana,36880,75677,2052,Canal,Laterite,17156,1170,1411,20.4,100,428027,Harvested
Gujarat,Gujarat District 3,2023,Zaid,Pulses,21978,75933,3455,Tube Well,Laterite,4065,1731,1970,55.2,169,481461,Failed
Madhya Pradesh,Madhya District 1,2022,Kharif,Maize,41104,36993,900,Drip,Forest,13246,1448,1374,48.2,215,304815,Standing
Meghalaya,Meghalaya District 5,2018,Kharif,Jowar,40101,80001,1995,Drip,Laterite,10134,3782,3418,69.5,95,362898,Harvested
Gujarat,Gujarat District 1,2018,Kharif,Bajra,31234,46632,1493,Sprinkler,Alluvial,18719,1069,1319,48.5,150,528049,Harvested
West Bengal,West District 4,2022,Rabi,Banana,23687,50453,2130,Tube Well,Black,13641,2580,2544,65.6,108,403536,Harvested
Uttarakhand,Uttarakhand District 3,2022,Rabi,Wheat,41369,133952,3238,Sprinkler,Laterite,5132,1846,1968,69.7,101,503649,Harvested
Maharashtra,Maharashtra District 6,2022,Rabi,Bajra,13529,9930,734,Sprinkler,Laterite,6130,2328,2404,48.2,58,382435,Failed
Tamil Nadu,Tamil District 6,2023,Kharif,Onion,2184,3623,1659,Sprinkler,Forest,333,2728,2609,48.9,112,523005,Harvested
Delhi,Delhi District 2,2018,Rabi,Mango,2881,2909,1010,Drip,Forest,706,1087,1008,51.0,219,510018,Harvested
Haryana,Haryana District 3,2019,Rabi,Jowar,32846,68812,2095,Drip,Arid,9810,1535,1560,70.5,171,293731,Harvested
Uttar Pradesh,Uttar District 4,2021,Kharif,Sugarcane,7384,19766,2677,Sprinkler,Red,4027,2425,2591,22.4,83,539563,Standing
Odisha,Odisha District 4,2021,Kharif,Wheat,11097,31437,2833,Sprinkler,Arid,4252,2079,2362,71.3,213,389066,Harvested
Puducherry,Puducherry District 3,2020,Rabi,Turmeric,7083,8357,1180,Sprinkler,Laterite,2671,2235,2045,63.6,130,378047,Harvested
Sikkim,Sikkim District 3,2021,Kharif,Banana,43566,82818,1901,Tube Well,Red,21818,1674,2007,21.2,221,439718,Harvested
Uttar Pradesh,Uttar District 3,2022,Kharif,Bajra,16519,49375,2989,Rain-fed,Arid,6990,949,984,20.4,233,232007,Failed
Puducherry,Puducherry District 5,2023,Zaid,Rice,41125,27224,662,Drip,Arid,16808,1911,2075,47.1,130,319579,Standing
Arunachal Pradesh,Arunachal District 3,2021,Kharif,Banana,15252,34332,2251,Sprinkler,Forest,7880,3186,3072,29.7,134,357254,Failed
Mizoram,Mizoram District 4,2018,Zaid,Sugarcane,31464,51317,1631,Drip,Black,11345,1377,1431,71.8,108,364246,Harvested
Uttar Pradesh,Uttar District 4,2023,Kharif,Turmeric,21854,31928,1461,Tube Well,Laterite,8421,2729,3243,33.0,158,360777,Harvested
Jharkhand,Jharkhand District 8,2022,Kharif,Banana,16778,26911,1604,Rain-fed,Black,1905,1562,1766,64.3,64,228582,Harvested
Goa,Goa District 3,2022,Zaid,Mango,33853,29519,872,Drip,Alluvial,9733,3351,3048,29.4,53,439969,Harvested
Mizoram,Mizoram District 1,2022,Zaid,Sugarcane,19131,21885,1144,Sprinkler,Forest,3925,2230,2331,46.6,164,92003,Harvested
Puducherry,Puducherry District 5,2023,Rabi,Mustard,6033,19227,3187,Rain-fed,Black,2324,1262,1236,41.4,73,381162,Standing
Bihar,Bihar District 1,2019,Zaid,Bajra,39633,47797,1206,Canal,Black,9517,2177,2186,36.0,51,489682,Harvested
Kerala,Kerala District 3,2023,Rabi,Tea,34196,43121,1261,Drip,Black,14884,3465,3234,77.7,164,462732,Harvested
Gujarat,Gujarat District 2,2020,Rabi,Rice,9211,6475,703,Drip,Laterite,2249,2137,2131,25.3,59,307762,Harvested
Meghalaya,Meghalaya District 7,2018,Zaid,Soybean,38015,90475,2380,Sprinkler,Laterite,15916,1734,1596,69.2,212,357748,Standing
Gujarat,Gujarat District 8,2018,Zaid,Jowar,32825,35286,1075,Rain-fed,Red,18818,1505,1392,58.9,173,319851,Failed
Kerala,Kerala District 5,2023,Rabi,Groundnut,19563,32846,1679,Drip,Arid,4168,2554,2913,24.9,129,353415,Harvested
Andhra Pradesh,Andhra District 1,2021,Kharif,Rice,48225,132715,2752,Tube Well,Forest,7273,2280,2263,69.6,69,378640,Harvested
Puducherry,Puducherry District 7,2023,Rabi,Wheat,27768,88829,3199,Tube Well,Black,5370,1691,2069,70.1,74,277654,Harvested
Tamil Nadu,Tamil District 4,2021,Zaid,Pulses,30199,50704,1679,Drip,Alluvial,10363,994,1045,24.7,50,129908,Standing
Tamil Nadu,Tamil District 8,2023,Rabi,Wheat,45358,78242,1725,Drip,Arid,21262,3613,4045,55.9,224,480461,Harvested
Ladakh,Ladakh District 7,2019,Kharif,Ginger,6403,10321,1612,Rain-fed,Alluvial,3634,1906,2339,51.6,176,465541,Harvested
Gujarat,Gujarat District 3,2021,Kharif,Turmeric,26602,78954,2968,Sprinkler,Laterite,13231,2196,2197,67.6,115,285846,Failed
Sikkim,Sikkim District 6,2023,Zaid,Wheat,34612,90060,2602,Sprinkler,Arid,13538,1861,2039,58.6,211,254061,Harvested
Chandigarh,Chandigarh District 6,2023,Kharif,Ginger,16285,37911,2328,Sprinkler,Forest,2766,3795,4058,49.4,124,330573,Harvested
Rajasthan,Rajasthan District 3,2019,Rabi,Onion,26155,31098,1189,Rain-fed,Laterite,14476,2595,2312,23.9,164,337071,Harvested
Karnataka,Karnataka District 6,2022,Kharif,Sunflower,43762,100477,2296,Sprinkler,Arid,25351,1664,1499,26.5,199,350969,Harvested
Delhi,Delhi District 2,2021,Rabi,Soybean,14637,41583,2841,Drip,Arid,2663,1825,2242,21.0,203,276720,Harvested
Tamil Nadu,Tamil District 6,2019,Rabi,Maize,46755,45539,974,Rain-fed,Alluvial,12641,1419,1350,35.6,200,256872,Harvested
Arunachal Pradesh,Arunachal District 2,2018,Zaid,Turmeric,9051,22817,2521,Tube Well,Alluvial,2469,2641,3269,30.5,169,472209,Standing
Rajasthan,Rajasthan District 5,2022,Kharif,Mango,35960,55162,1534,Canal,Black,15923,982,1166,42.4,206,52720,Harvested
Karnataka,Karnataka District 7,2021,Zaid,Potato,33114,63976,1932,Rain-fed,Alluvial,8320,2322,2488,40.4,194,531445,Harvested
Delhi,Delhi District 6,2022,Kharif,Soybean,12218,14160,1159,Sprinkler,Laterite,5213,1782,1701,47.3,244,318089,Harvested
Odisha,Odisha District 6,2023,Zaid,Sugarcane,25762,66749,2591,Canal,Laterite,10377,1085,1299,38.4,139,234857,Harvested
Jharkhand,Jharkhand District 5,2018,Rabi,Cotton,29954,48435,1617,Sprinkler,Alluvial,8189,2340,2492,69.8,233,415673,Harvested
Tamil Nadu,Tamil District 3,2022,Kharif,Ginger,30090,31263,1039,Tube Well,Alluvial,4122,1195,1121,21.0,205,153174,Harvested
West Bengal,West District 6,2022,Rabi,Wheat,7559,25753,3407,Sprinkler,Black,1367,3373,3681,22.2,129,270487,Harvested
Maharashtra,Maharashtra District 8,2022,Rabi,Jowar,12224,10549,863,Sprinkler,Black,6038,1262,1142,20.5,59,435431,Harvested
Goa,Goa District 6,2020,Rabi,Banana,34532,37260,1079,Canal,Red,14150,3701,3872,67.7,78,101952,Failed
Tripura,Tripura District 1,2022,Zaid,Turmeric,5824,13703,2353,Drip,Red,2324,2834,2903,68.9,220,511650,Harvested
Andhra Pradesh,Andhra District 6,2023,Kharif,Tea,31607,49022,1551,Sprinkler,Arid,14583,3046,2683,49.6,66,502901,Harvested
Himachal Pradesh,Himachal District 4,2018,Zaid,Groundnut,16704,47723,2857,Rain-fed,Laterite,9245,1440,1636,27.3,160,284684,Harvested
Telangana,Telangana District 2,2023,Zaid,Banana,21499,28572,1329,Tube Well,Laterite,2343,3413,3890,76.1,154,149268,Harvested
Telangana,Telangana District 7,2021,Zaid,Tea,46811,51304,1096,Canal,Laterite,17590,3702,4161,63.3,166,387265,Harvested
Haryana,Haryana District 8,2023,Rabi,Sunflower,35144,34265,975,Sprinkler,Black,17934,1100,972,38.7,203,392621,Standing
Gujarat,Gujarat District 7,2020,Rabi,Banana,12914,42758,3311,Rain-fed,Alluvial,4911,3056,2976,26.1,159,242454,Harvested
Nagaland,Nagaland District 4,2018,Zaid,Mustard,23316,22546,967,Tube Well,Black,5461,1022,998,49.4,233,384494,Harvested
Delhi,Delhi District 6,2023,Zaid,Tea,9861,33576,3405,Rain-fed,Black,1559,1651,1484,41.4,152,490917,Harvested
Meghalaya,Meghalaya District 5,2021,Kharif,Bajra,1021,2168,2124,Rain-fed,Arid,242,1398,1599,39.9,217,417478,Harvested
Mizoram,Mizoram District 7,2019,Rabi,Pulses,17377,54511,3137,Canal,Alluvial,7217,1397,1271,66.9,232,443815,Harvested
Manipur,Manipur District 1,2020,Zaid,Mustard,27601,85259,3089,Tube Well,Forest,8651,2097,2521,22.6,229,316031,Harvested
Ladakh,Ladakh District 3,2019,Zaid,Wheat,23039,62965,2733,Rain-fed,Laterite,5776,2549,2646,73.2,90,88086,Harvested
Chhattisgarh,Chhattisgarh District 3,2021,Kharif,Tomato,44108,27920,633,Sprinkler,Alluvial,13740,2742,2526,44.2,174,272582,Failed
Uttarakhand,Uttarakhand District 8,2019,Rabi,Sugarcane,13649,24445,1791,Tube Well,Laterite,5924,1076,961,73.9,116,62687,Harvested
Delhi,Delhi District 5,2022,Zaid,Wheat,41304,61873,1498,Drip,Arid,14414,3689,3463,38.2,197,146148,Harvested
Arunachal Pradesh,Arunachal District 3,2021,Rabi,Jowar,28612,35364,1236,Tube Well,Forest,6396,3187,2980,51.1,165,379703,Harvested
Goa,Goa District 4,2023,Zaid,Mustard,16495,13031,790,Drip,Forest,9831,2853,2458,50.3,80,464428,Harvested
Telangana,Telangana District 1,2019,Rabi,Tomato,20889,44618,2136,Rain-fed,Arid,9418,3102,3119,78.1,198,50313,Harvested
Goa,Goa District 8,2023,Zaid,Banana,7413,13447,1814,Rain-fed,Forest,1941,1746,1526,57.2,80,251012,Harvested
West Bengal,West District 7,2018,Rabi,Mustard,5089,15058,2959,Sprinkler,Arid,2203,3606,3858,30.9,111,165298,Harvested
Jharkhand,Jharkhand District 4,2018,Zaid,Wheat,3384,4696,1388,Tube Well,Forest,780,1555,1488,56.1,124,348962,Harvested
Odisha,Odisha District 5,2019,Rabi,Mustard,12365,37243,3012,Rain-fed,Red,4101,1387,1439,37.3,167,511114,Harvested
Mizoram,Mizoram District 5,2019,Kharif,Bajra,6526,8216,1259,Rain-fed,Black,2686,3522,3875,59.2,144,296772,Harvested
Maharashtra,Maharashtra District 5,2021,Kharif,Sunflower,38007,126259,3322,Drip,Black,19978,3648,4090,24.1,79,257276,Harvested
Andhra Pradesh,Andhra District 1,2020,Zaid,Mango,27017,88507,3276,Drip,Laterite,13354,2692,3070,75.8,204,59625,Harvested
Ladakh,Ladakh District 6,2023,Zaid,Ginger,6556,17327,2643,Tube Well,Red,3867,3281,3582,58.2,198,64487,Harvested
Arunachal Pradesh,Arunachal District 1,2023,Kharif,Cotton,50203,154374,3075,Sprinkler,Arid,14033,2298,2861,72.7,107,238930,Harvested
Gujarat,Gujarat District 5,2020,Zaid,Potato,26451,40258,1522,Drip,Black,3733,2866,3420,61.5,214,95543,Harvested
Arunachal Pradesh,Arunachal District 7,2018,Kharif,Bajra,39907,71672,1796,Canal,Laterite,23289,2671,2950,70.2,228,501375,Harvested
Odisha,Odisha District 2,2022,Kharif,Sugarcane,33897,87284,2575,Rain-fed,Laterite,17240,1170,1073,72.1,129,401292,Harvested
Kerala,Kerala District 1,2019,Zaid,Jowar,21693,13211,609,Tube Well,Red,13013,856,922,27.2,155,394923,Harvested
Odisha,Odisha District 3,2020,Zaid,Pulses,7902,15962,2020,Tube Well,Arid,1356,954,900,40.3,103,474512,Harvested
Chandigarh,Chandigarh District 4,2020,Kharif,Ginger,20219,22281,1102,Rain-fed,Laterite,5670,3199,3977,45.6,103,300618,Harvested
West Bengal,West District 1,2022,Rabi,Turmeric,5675,15033,2649,Drip,Black,2635,897,774,22.5,57,73503,Harvested
Punjab,Punjab District 6,2021,Zaid,Onion,49875,77206,1548,Canal,Forest,15707,1535,1349,78.7,241,120977,Harvested
West Bengal,West District 4,2020,Zaid,Maize,14836,46688,3147,Rain-fed,Alluvial,7358,1627,1898,22.9,105,63222,Harvested
Chandigarh,Chandigarh District 1,2023,Rabi,Banana,43537,37964,872,Drip,Black,7188,2907,2779,63.5,210,127862,Standing
Haryana,Haryana District 1,2018,Zaid,Tomato,31827,98568,3097,Tube Well,Red,11465,1088,1180,38.5,237,80840,Harvested
Uttar Pradesh,Uttar District 8,2022,Kharif,Turmeric,11883,13190,1110,Canal,Alluvial,1880,2412,2264,54.2,194,304831,Harvested
Manipur,Manipur District 3,2022,Rabi,Wheat,39464,58446,1481,Tube Well,Red,4130,1995,2493,68.3,230,466328,Failed
Tamil Nadu,Tamil District 7,2019,Zaid,Mustard,47843,115923,2423,Drip,Red,11986,3285,3349,27.2,148,122763,Harvested
Uttar Pradesh,Uttar District 2,2018,Kharif,Potato,4800,12883,2684,Drip,Red,977,2782,2410,22.0,111,101507,Standing
Meghalaya,Meghalaya District 2,2022,Kharif,Ginger,45790,136408,2979,Sprinkler,Alluvial,11358,2971,3585,38.2,227,54091,Harvested
Karnataka,Karnataka District 1,2018,Rabi,Sunflower,20959,21126,1008,Drip,Alluvial,6859,2418,2800,52.2,164,183138,Harvested
Arunachal Pradesh,Arunachal District 8,2019,Zaid,Groundnut,8766,21476,2450,Rain-fed,Black,1857,3185,3554,48.4,165,251985,Harvested
Karnataka,Karnataka District 3,2023,Kharif,Rice,25929,40086,1546,Drip,Alluvial,3520,2507,2387,59.5,204,483487,Harvested
Himachal Pradesh,Himachal District 4,2023,Rabi,Groundnut,42332,64344,1520,Drip,Forest,13153,1189,1468,41.2,238,395061,Standing
Odisha,Odisha District 2,2018,Zaid,Tea,48918,123664,2528,Tube Well,Laterite,12420,2007,1788,68.6,143,293792,Harvested
Ladakh,Ladakh District 6,2018,Zaid,Ginger,13167,43240,3284,Sprinkler,Red,3332,1125,1030,24.3,226,105785,Failed
Tripura,Tripura District 8,2019,Kharif,Tomato,16762,56437,3367,Tube Well,Alluvial,4876,829,818,51.6,201,284470,Standing
Maharashtra,Maharashtra District 5,2022,Kharif,Tomato,18358,34678,1889,Sprinkler,Laterite,5313,1828,1762,65.2,121,346675,Harvested
Meghalaya,Meghalaya District 7,2023,Kharif,Banana,2117,4708,2224,Canal,Forest,1151,2460,2175,21.4,69,295805,Harvested
West Bengal,West District 3,2019,Kharif,Sunflower,33010,86750,2628,Canal,Laterite,16257,2573,2932,38.5,88,367447,Harvested
Uttarakhand,Uttarakhand District 3,2019,Zaid,Jowar,48037,29830,621,Drip,Forest,9900,901,905,30.4,185,438716,Harvested
Uttar Pradesh,Uttar District 6,2020,Zaid,Sunflower,36805,108832,2957,Tube Well,Alluvial,16951,3573,4004,35.5,59,232974,Harvested
Punjab,Punjab District 2,2021,Zaid,Tomato,19923,40722,2044,Drip,Arid,2812,3489,3669,70.7,102,314665,Harvested
Sikkim,Sikkim District 3,2019,Kharif,Mango,21740,74633,3433,Drip,Alluvial,8255,2992,2728,56.2,118,81503,Harvested
Madhya Pradesh,Madhya District 1,2022,Kharif,Maize,48553,166488,3429,Sprinkler,Alluvial,25022,3306,3697,49.6,219,64590,Harvested
Chhattisgarh,Chhattisgarh District 3,2021,Rabi,Bajra,40136,35359,881,Tube Well,Forest,7170,2547,2428,58.9,182,117362,Harvested
Tripura,Tripura District 1,2019,Zaid,Banana,41889,48758,1164,Tube Well,Red,14360,2621,2925,60.1,138,492993,Harvested
Gujarat,Gujarat District 8,2023,Zaid,Onion,14763,45337,3071,Sprinkler,Laterite,5871,1855,2097,52.3,158,142884,Harvested
Karnataka,Karnataka District 1,2018,Zaid,Maize,1782,1495,839,Canal,Arid,502,3402,4068,63.6,66,89222,Failed
Tamil Nadu,Tamil District 4,2021,Kharif,Banana,17076,41221,2414,Drip,Alluvial,4396,847,1031,51.0,230,390199,Harvested
Meghalaya,Meghalaya District 8,2021,Rabi,Ginger,13568,24042,1772,Canal,Arid,7020,1206,1162,40.9,98,260020,Harvested
Andhra Pradesh,Andhra District 4,2021,Rabi,Cotton,27159,23356,860,Drip,Black,7832,1268,1524,23.3,118,537131,Failed
Punjab,Punjab District 7,2018,Rabi,Turmeric,40602,114822,2828,Sprinkler,Arid,12760,3400,3157,72.9,236,213735,Harvested
Delhi,Delhi District 8,2021,Zaid,Groundnut,37210,52838,1420,Drip,Black,16835,2173,2087,79.3,156,495671,Harvested
Jammu & Kashmir,Jammu District 7,2019,Kharif,Onion,6434,15821,2459,Drip,Black,2704,2660,2320,48.3,144,371598,Standing
Haryana,Haryana District 2,2020,Zaid,Tomato,23282,58414,2509,Rain-fed,Alluvial,13441,1184,1363,59.9,71,169134,Standing
Puducherry,Puducherry District 2,2019,Kharif,Rice,26391,63206,2395,Rain-fed,Alluvial,10059,1791,2097,48.7,158,384142,Standing
Punjab,Punjab District 1,2023,Kharif,Soybean,32322,34616,1071,Drip,Laterite,15974,2466,2494,59.9,219,80330,Failed
Karnataka,Karnataka District 7,2022,Zaid,Wheat,11507,30436,2645,Rain-fed,Red,2711,3753,3348,70.7,90,500662,Harvested
Nagaland,Nagaland District 5,2019,Zaid,Rice,2929,7972,2722,Rain-fed,Arid,1267,942,1027,39.1,245,170989,Harvested
Maharashtra,Maharashtra District 2,2019,Zaid,Maize,9593,20768,2165,Drip,Laterite,5631,1900,1938,67.7,129,329057,Harvested
Manipur,Manipur District 7,2022,Kharif,Jowar,2113,4363,2065,Drip,Alluvial,907,2356,2133,45.5,140,500706,Harvested
Chhattisgarh,Chhattisgarh District 1,2019,Zaid,Onion,1033,2482,2403,Canal,Arid,361,1333,1517,44.3,188,502025,Harvested
Goa,Goa District 2,2022,Kharif,Onion,15522,35359,2278,Canal,Black,3545,1561,1941,22.9,88,281557,Harvested
Rajasthan,Rajasthan District 8,2018,Rabi,Sunflower,19015,62844,3305,Drip,Laterite,11406,2727,2828,40.8,96,407662,Harvested
Maharashtra,Maharashtra District 3,2018,Rabi,Cotton,50057,105770,2113,Sprinkler,Laterite,14695,2479,2402,29.2,78,454063,Failed
Bihar,Bihar District 2,2022,Rabi,Tea,22061,75647,3429,Tube Well,Red,2808,2297,2006,54.2,147,382090,Harvested
Mizoram,Mizoram District 6,2020,Kharif,Maize,36749,68279,1858,Tube Well,Forest,3811,3280,3730,71.3,52,536601,Harvested
West Bengal,West District 8,2021,Zaid,Banana,35071,46083,1314,Tube Well,Forest,12126,3589,3148,58.8,84,307373,Harvested
Tripura,Tripura District 1,2020,Kharif,Sugarcane,25231,17964,712,Canal,Arid,5262,3696,4572,75.2,65,336932,Harvested
Haryana,Haryana District 3,2019,Rabi,Turmeric,41823,126514,3025,Tube Well,Laterite,15492,922,790,44.7,194,145214,Harvested
Maharashtra,Maharashtra District 6,2018,Kharif,Mango,42365,117605,2776,Sprinkler,Laterite,24910,858,818,33.2,236,429817,Harvested
Meghalaya,Meghalaya District 4,2021,Rabi,Tomato,21368,31816,1489,Drip,Arid,9336,918,1095,23.4,63,174229,Harvested
Himachal Pradesh,Himachal District 1,2019,Rabi,Mango,17228,49599,2879,Sprinkler,Black,8271,1129,1324,43.3,91,121275,Harvested
Jharkhand,Jharkhand District 2,2020,Rabi,Cotton,25373,18268,720,Canal,Laterite,14683,1335,1516,70.4,164,407689,Failed
Ladakh,Ladakh District 8,2018,Kharif,Banana,13558,21164,1561,Tube Well,Alluvial,6878,3617,3846,49.0,218,294679,Standing
Rajasthan,Rajasthan District 2,2021,Rabi,Sunflower,10534,36805,3494,Drip,Alluvial,2552,2517,2852,65.1,80,397189,Harvested
Haryana,Haryana District 2,2020,Kharif,Mustard,6549,17590,2686,Rain-fed,Arid,3320,870,952,66.8,207,115385,Harvested
Jharkhand,Jharkhand District 7,2022,Kharif,Pulses,44920,28209,628,Drip,Arid,17578,2119,2035,64.5,124,285206,Standing
Rajasthan,Rajasthan District 8,2023,Zaid,Tea,39663,117561,2964,Tube Well,Arid,18791,1121,1348,35.6,135,458576,Harvested
Odisha,Odisha District 8,2022,Kharif,Bajra,18611,10515,565,Tube Well,Red,5174,1369,1272,66.1,69,185328,Harvested
Gujarat,Gujarat District 1,2021,Rabi,Wheat,33481,112429,3358,Drip,Black,10917,999,952,75.2,147,298025,Harvested
Uttarakhand,Uttarakhand District 2,2023,Kharif,Mustard,29893,49084,1642,Canal,Red,12242,2962,2864,44.9,96,140810,Harvested
Jharkhand,Jharkhand District 8,2019,Kharif,Turmeric,33135,58218,1757,Drip,Red,11152,1263,1112,60.8,91,503308,Harvested
Manipur,Manipur District 8,2020,Zaid,Soybean,23414,81223,3469,Sprinkler,Black,10224,2277,2811,69.5,165,306505,Harvested
Bihar,Bihar District 5,2018,Kharif,Sugarcane,9471,15371,1623,Rain-fed,Arid,4144,1021,1258,23.0,191,223416,Harvested
Gujarat,Gujarat District 2,2020,Kharif,Groundnut,6032,17776,2947,Canal,Laterite,3320,1530,1759,32.6,229,124328,Harvested
Kerala,Kerala District 4,2022,Rabi,Cotton,32727,71246,2177,Canal,Alluvial,17187,2255,1940,75.5,128,474696,Harvested
West Bengal,West District 1,2022,Kharif,Bajra,13056,21333,1634,Canal,Forest,1319,2737,2432,57.3,235,50059,Harvested
Odisha,Odisha District 8,2018,Zaid,Bajra,11293,6245,553,Rain-fed,Arid,4180,2846,3318,47.8,140,329387,Failed
Rajasthan,Rajasthan District 7,2020,Zaid,Sunflower,17393,33029,1899,Sprinkler,Black,6894,2114,2582,62.6,241,448489,Harvested
Arunachal Pradesh,Arunachal District 8,2018,Kharif,Tea,49710,55128,1109,Canal,Arid,11879,1937,1698,47.7,174,542744,Harvested
Kerala,Kerala District 7,2020,Zaid,Potato,19320,17774,920,Canal,Black,7851,3119,3830,74.2,129,541950,Standing
Jammu & Kashmir,Jammu District 2,2023,Kharif,Tomato,26297,54645,2078,Rain-fed,Laterite,11290,875,1045,25.3,164,213328,Harvested
Manipur,Manipur District 8,2021,Rabi,Rice,20103,30094,1497,Canal,Forest,11867,2871,2903,27.9,182,247263,Harvested
Jharkhand,Jharkhand District 8,2019,Zaid,Mustard,39992,119416,2986,Tube Well,Forest,18981,2177,2509,60.6,248,472799,Standing
Bihar,Bihar District 6,2022,Zaid,Tea,21384,35048,1639,Canal,Arid,11848,1853,2220,38.1,88,51230,Harvested
Chandigarh,Chandigarh District 6,2023,Rabi,Jowar,22811,21510,943,Tube Well,Alluvial,11913,3329,3229,74.4,191,74687,Harvested
Gujarat,Gujarat District 3,2021,Rabi,Tea,1281,3071,2398,Rain-fed,Black,544,3544,3485,64.4,79,526779,Harvested
Himachal Pradesh,Himachal District 4,2022,Zaid,Jowar,41910,71749,1712,Drip,Red,22571,936,814,21.2,117,260283,Harvested
Haryana,Haryana District 1,2020,Rabi,Banana,19313,28583,1480,Drip,Alluvial,6889,962,945,43.8,70,407572,Standing
Gujarat,Gujarat District 6,2022,Zaid,Mango,39229,49899,1272,Canal,Red,16786,3193,3229,74.7,210,518721,Harvested
Maharashtra,Maharashtra District 2,2022,Zaid,Potato,1079,1165,1080,Tube Well,Laterite,613,1433,1560,47.9,119,462186,Harvested
Sikkim,Sikkim District 5,2022,Rabi,Rice,9741,23242,2386,Rain-fed,Laterite,975,2952,2745,48.9,206,420746,Harvested
Puducherry,Puducherry District 2,2019,Kharif,Banana,22607,15576,689,Tube Well,Red,6044,3755,3831,48.4,246,510049,Harvested
Tamil Nadu,Tamil District 4,2023,Kharif,Groundnut,38168,98969,2593,Canal,Arid,21309,1352,1259,27.6,159,530125,Harvested
Bihar,Bihar District 6,2019,Zaid,Jowar,38785,83387,2150,Drip,Alluvial,7196,1683,1837,73.0,131,208768,Harvested
Delhi,Delhi District 3,2023,Zaid,Wheat,33244,82212,2473,Drip,Arid,6527,1910,1942,40.3,216,175401,Harvested
Madhya Pradesh,Madhya District 4,2021,Kharif,Banana,3941,4390,1114,Rain-fed,Forest,1243,1671,2011,39.4,69,376671,Harvested
Haryana,Haryana District 8,2022,Rabi,Bajra,4272,6604,1546,Drip,Alluvial,649,2701,2903,38.5,117,96018,Harvested
Telangana,Telangana District 1,2020,Kharif,Cotton,22480,69350,3085,Sprinkler,Forest,7391,3288,3063,29.0,142,173132,Harvested
Chhattisgarh,Chhattisgarh District 4,2018,Kharif,Maize,43823,69327,1582,Sprinkler,Black,6026,2438,2239,78.3,53,159467,Failed
Nagaland,Nagaland District 1,2020,Rabi,Maize,17407,54414,3126,Sprinkler,Alluvial,6883,3414,3592,51.3,246,315723,Harvested
Telangana,Telangana District 8,2020,Kharif,Tea,21429,35422,1653,Drip,Forest,12225,2968,2534,69.9,53,64619,Harvested
Andhra Pradesh,Andhra District 5,2020,Kharif,Tomato,23870,55068,2307,Rain-fed,Red,4556,1492,1422,56.1,233,170308,Harvested
Jharkhand,Jharkhand District 5,2021,Kharif,Pulses,50156,137477,2741,Rain-fed,Black,8620,3637,3745,36.4,60,495712,Harvested
Uttarakhand,Uttarakhand District 5,2019,Zaid,Maize,25125,44998,1791,Tube Well,Forest,4911,914,1026,69.6,208,436511,Standing
Himachal Pradesh,Himachal District 3,2020,Kharif,Soybean,43374,139620,3219,Tube Well,Arid,22587,1895,2155,20.1,70,306405,Harvested
