State,District,Year,Quarter,Disease,Cases,Deaths,CFR,Hospitals,Beds,Doctors,Nurses,HealthFacility,VaccinationCoverage,SanitationCoverage,Status
Goa,Goa District 8,2020,Q4,Tuberculosis,4008,0,0.00,50,1160,326,855,District Hospital,72.1,57.2,Contained
Rajasthan,Rajasthan District 4,2018,Q4,Leptospirosis,6846,208,3.04,39,1098,371,898,Sub-Centre,65.1,68.5,Active
Jharkhand,Jharkhand District 6,2018,Q3,Filariasis,4216,109,2.59,18,395,119,238,District Hospital,93.4,42.0,Active
Mizoram,Mizoram District 7,2018,Q4,Pneumonia,3890,35,0.90,6,118,22,48,Urban PHC,89.6,42.5,Active
Himachal Pradesh,Himachal District 3,2019,Q3,Cholera,9074,373,4.11,14,239,63,141,District Hospital,89.3,66.1,Active
Jammu & Kashmir,Jammu District 6,2018,Q2,Malaria,2908,84,2.89,31,617,262,612,Sub-Centre,77.1,68.8,Active
Punjab,Punjab District 2,2018,Q3,Tuberculosis,3690,169,4.58,30,378,145,361,District Hospital,94.4,52.1,Active
Mizoram,Mizoram District 4,2021,Q2,Cholera,5883,58,0.99,53,645,85,140,Urban PHC,89.3,63.2,Active
Madhya Pradesh,Madhya District 2,2023,Q3,Tuberculosis,4091,124,3.03,11,183,63,166,District Hospital,58.8,71.0,Contained
Sikkim,Sikkim District 8,2019,Q4,Cholera,5758,83,1.44,29,608,292,700,Sub-Centre,76.4,47.2,Active
Punjab,Punjab District 8,2018,Q3,Cholera,1940,23,1.19,23,608,192,205,District Hospital,60.1,54.3,Active
Uttar Pradesh,Uttar District 7,2020,Q3,Japanese Encephalitis,541,12,2.22,54,1605,521,1137,District Hospital,68.9,43.5,Contained
Meghalaya,Meghalaya District 1,2020,Q3,Dengue,638,29,4.55,34,701,191,491,Primary Health Centre,65.9,62.0,Active
Goa,Goa District 4,2021,Q2,Leptospirosis,3495,169,4.84,17,265,42,70,Primary Health Centre,90.6,55.7,Active
Maharashtra,Maharashtra District 3,2019,Q3,Typhoid,4140,200,4.83,53,986,145,301,District Hospital,70.3,57.4,Active
Ladakh,Ladakh District 8,2020,Q3,Malaria,8208,366,4.46,17,330,46,134,Sub-Centre,61.5,71.1,Active
Mizoram,Mizoram District 5,2018,Q1,Filariasis,2205,19,0.86,11,122,59,159,Community Health Centre,89.5,59.3,Contained
Gujarat,Gujarat District 1,2023,Q2,Tuberculosis,1537,57,3.71,37,942,433,730,District Hospital,56.9,59.6,Active
Bihar,Bihar District 8,2018,Q1,Typhoid,4504,75,1.67,44,1220,296,835,District Hospital,74.5,49.4,Active
Meghalaya,Meghalaya District 2,2018,Q4,Hepatitis B,4658,178,3.82,48,1214,319,612,Primary Health Centre,78.0,77.5,Active
Maharashtra,Maharashtra District 4,2021,Q4,Pneumonia,2496,57,2.28,15,425,211,403,Urban PHC,94.2,40.8,Active
Chandigarh,Chandigarh District 4,2018,Q1,Tuberculosis,2962,124,4.19,11,133,60,170,Primary Health Centre,87.5,56.3,Active
Odisha,Odisha District 8,2019,Q3,Chikungunya,3173,87,2.74,10,270,132,244,Sub-Centre,62.2,77.8,Active
Punjab,Punjab District 5,2019,Q3,Tuberculosis,6461,97,1.50,11,275,129,231,Sub-Centre,58.6,50.8,Active
Mizoram,Mizoram District 5,2022,Q4,Filariasis,4897,213,4.35,26,459,83,149,District Hospital,67.8,56.1,Active
Haryana,Haryana District 5,2022,Q3,Malaria,3938,178,4.52,29,762,238,420,Community Health Centre,87.5,74.2,Active
Jharkhand,Jharkhand District 6,2020,Q2,Kala-azar,7297,255,3.49,20,551,95,171,District Hospital,90.8,53.0,Contained
Arunachal Pradesh,Arunachal District 8,2022,Q4,Diarrhoea,731,23,3.15,40,1034,486,1346,Urban PHC,55.7,50.8,Active
Karnataka,Karnataka District 3,2020,Q4,Diarrhoea,8034,183,2.28,5,146,35,68,District Hospital,66.6,40.7,Active
Puducherry,Puducherry District 6,2022,Q4,Filariasis,358,17,4.75,26,531,142,244,Primary Health Centre,63.5,53.8,Active
Assam,Assam District 6,2019,Q2,Diarrhoea,6748,204,3.02,21,478,185,506,Sub-Centre,84.4,47.8,Contained
Jammu & Kashmir,Jammu District 7,2018,Q3,Malaria,2146,104,4.85,16,374,95,162,Urban PHC,87.3,58.3,Active
Karnataka,Karnataka District 1,2019,Q1,Leptospirosis,1024,10,0.98,5,145,18,33,District Hospital,84.8,43.3,Active
Ladakh,Ladakh District 7,2019,Q4,Dengue,7894,382,4.84,17,458,114,210,Primary Health Centre,79.9,44.9,Active
Haryana,Haryana District 2,2020,Q1,Filariasis,6125,117,1.91,26,431,209,241,Community Health Centre,91.1,54.7,Active
Uttarakhand,Uttarakhand District 3,2021,Q1,Kala-azar,5878,253,4.30,42,1219,524,696,Urban PHC,81.2,71.4,Active
Odisha,Odisha District 8,2022,Q3,Pneumonia,6770,209,3.09,48,1380,227,239,Primary Health Centre,72.2,50.0,Active
Madhya Pradesh,Madhya District 5,2019,Q1,Malaria,2199,9,0.41,17,250,120,276,Urban PHC,61.3,78.5,Active
Delhi,Delhi District 6,2018,Q1,Diarrhoea,7643,130,1.70,22,544,264,739,Sub-Centre,89.1,76.0,Active
Bihar,Bihar District 6,2019,Q1,Chikungunya,7606,191,2.51,48,777,280,457,Community Health Centre,82.9,53.0,Contained
Telangana,Telangana District 4,2018,Q2,COVID-19,6064,278,4.58,51,1528,253,438,District Hospital,91.0,48.5,Active
Bihar,Bihar District 2,2022,Q3,Typhoid,3896,186,4.77,30,712,300,635,Primary Health Centre,62.7,50.4,Active
Assam,Assam District 2,2018,Q4,Tuberculosis,2244,15,0.67,18,332,151,276,District Hospital,90.5,48.4,Active
Madhya Pradesh,Madhya District 8,2019,Q1,Leptospirosis,7344,61,0.83,38,418,146,175,Sub-Centre,75.7,78.2,Contained
Tamil Nadu,Tamil District 5,2020,Q4,COVID-19,1248,15,1.20,17,476,195,275,Urban PHC,71.4,68.2,Active
Tamil Nadu,Tamil District 2,2022,Q1,Tuberculosis,1192,15,1.26,14,187,62,88,Sub-Centre,60.0,44.3,Contained
Chandigarh,Chandigarh District 2,2018,Q2,Malaria,2281,23,1.01,18,463,228,496,District Hospital,84.8,64.9,Contained
Assam,Assam District 1,2018,Q2,Cholera,7459,360,4.83,24,529,244,714,Community Health Centre,68.0,63.4,Active
Sikkim,Sikkim District 7,2021,Q2,Chikungunya,2643,111,4.20,50,803,91,158,Urban PHC,74.7,46.3,Active
Gujarat,Gujarat District 1,2018,Q3,Tuberculosis,7346,119,1.62,49,537,174,421,Community Health Centre,78.3,50.5,Active
Himachal Pradesh,Himachal District 2,2019,Q1,Malaria,5463,222,4.06,23,392,148,351,Sub-Centre,78.8,48.9,Active
Odisha,Odisha District 3,2020,Q1,Leptospirosis,181,4,2.21,26,492,89,147,District Hospital,77.7,66.4,Contained
Nagaland,Nagaland District 5,2023,Q4,Japanese Encephalitis,5024,141,2.81,31,316,114,309,Primary Health Centre,76.8,78.6,Active
Karnataka,Karnataka District 7,2021,Q3,Typhoid,1778,48,2.70,33,752,295,395,Sub-Centre,68.4,54.0,Active
Puducherry,Puducherry District 5,2019,Q2,Typhoid,5550,8,0.14,39,1119,257,598,Primary Health Centre,85.4,58.4,Contained
Haryana,Haryana District 7,2019,Q3,Malaria,1838,64,3.48,50,803,377,726,District Hospital,75.4,47.9,Active
Odisha,Odisha District 1,2022,Q2,Dengue,3999,103,2.58,51,1051,229,268,Urban PHC,74.8,50.0,Active
Manipur,Manipur District 7,2020,Q3,Kala-azar,6322,216,3.42,11,285,48,55,Urban PHC,83.8,70.5,Active
Jammu & Kashmir,Jammu District 5,2019,Q3,Dengue,6829,117,1.71,40,881,222,568,Community Health Centre,79.3,76.3,Active
Kerala,Kerala District 7,2022,Q1,Dengue,5134,251,4.89,46,1163,340,990,Sub-Centre,87.9,57.5,Active
Puducherry,Puducherry District 8,2023,Q2,Malaria,6275,67,1.07,31,393,77,88,Primary Health Centre,80.3,68.4,Active
Chhattisgarh,Chhattisgarh District 4,2023,Q3,Diarrhoea,8832,392,4.44,21,477,236,580,Sub-Centre,78.6,79.3,Active
West Bengal,West District 8,2023,Q2,Filariasis,6356,258,4.06,54,561,213,467,Primary Health Centre,74.5,42.5,Active
Arunachal Pradesh,Arunachal District 7,2018,Q4,COVID-19,291,9,3.09,17,468,57,102,Community Health Centre,71.5,58.7,Contained
West Bengal,West District 7,2022,Q4,Malaria,634,9,1.42,53,1342,476,1015,Primary Health Centre,93.9,42.7,Contained
Jammu & Kashmir,Jammu District 8,2022,Q4,Filariasis,5276,102,1.93,48,809,220,237,Urban PHC,93.2,71.8,Contained
Puducherry,Puducherry District 7,2022,Q4,Cholera,1763,1,0.06,6,94,17,49,Primary Health Centre,71.2,46.3,Active
West Bengal,West District 8,2023,Q3,Filariasis,7800,151,1.94,22,359,93,130,Urban PHC,76.4,42.8,Active
Andhra Pradesh,Andhra District 6,2022,Q4,COVID-19,1839,63,3.43,54,1021,221,297,Urban PHC,66.0,41.3,Active
Goa,Goa District 1,2019,Q3,Dengue,6917,137,1.98,16,338,123,176,District Hospital,62.3,53.2,Active
Andhra Pradesh,Andhra District 7,2021,Q1,Leptospirosis,7860,160,2.04,5,149,70,97,Primary Health Centre,71.8,52.2,Active
Meghalaya,Meghalaya District 1,2020,Q4,Typhoid,1767,53,3.00,53,714,161,409,Sub-Centre,61.6,66.0,Contained
Jharkhand,Jharkhand District 1,2023,Q4,COVID-19,1101,45,4.09,37,406,51,149,Urban PHC,66.6,48.4,Contained
West Bengal,West District 8,2021,Q2,Filariasis,5608,45,0.80,19,265,132,159,Primary Health Centre,93.3,61.5,Contained
Kerala,Kerala District 3,2022,Q3,Tuberculosis,1490,8,0.54,13,217,52,60,Community Health Centre,67.4,79.6,Contained
Meghalaya,Meghalaya District 5,2023,Q1,Kala-azar,3139,87,2.77,25,311,116,274,Urban PHC,77.2,76.9,Contained
Tripura,Tripura District 2,2018,Q4,COVID-19,6428,27,0.42,51,1422,215,413,Urban PHC,87.1,59.0,Active
Assam,Assam District 1,2018,Q1,Malaria,8144,93,1.14,16,372,133,262,District Hospital,63.8,56.3,Active
Karnataka,Karnataka District 7,2020,Q2,Filariasis,483,15,3.11,37,412,74,141,Primary Health Centre,74.4,77.8,Active
Puducherry,Puducherry District 2,2019,Q3,Typhoid,5024,111,2.21,8,83,41,66,District Hospital,78.4,72.6,Contained
Puducherry,Puducherry District 5,2019,Q2,Typhoid,2975,113,3.80,9,232,88,235,Community Health Centre,79.8,61.8,Active
Andhra Pradesh,Andhra District 6,2021,Q4,Filariasis,8117,60,0.74,6,109,51,148,Sub-Centre,61.0,48.2,Active
Puducherry,Puducherry District 7,2021,Q2,Cholera,1503,12,0.80,38,911,136,187,Sub-Centre,79.1,63.5,Contained
Chandigarh,Chandigarh District 2,2022,Q2,Dengue,2684,39,1.45,54,814,175,522,Primary Health Centre,71.5,54.4,Active
Ladakh,Ladakh District 1,2019,Q1,Diarrhoea,2550,98,3.84,20,326,110,191,Sub-Centre,72.8,49.9,Contained
Goa,Goa District 1,2019,Q3,Malaria,1396,39,2.79,38,875,405,1144,Urban PHC,80.7,68.1,Active
Uttar Pradesh,Uttar District 4,2018,Q3,Diarrhoea,185,5,2.70,52,1140,227,634,Sub-Centre,88.4,56.3,Contained
Madhya Pradesh,Madhya District 8,2021,Q4,Leptospirosis,7430,320,4.31,29,310,52,64,Primary Health Centre,83.6,76.3,Contained
Assam,Assam District 4,2018,Q4,Pneumonia,6065,255,4.20,25,381,56,63,District Hospital,84.6,50.4,Contained
Rajasthan,Rajasthan District 4,2019,Q3,Typhoid,1495,67,4.48,23,675,274,659,District Hospital,82.6,49.1,Active
Delhi,Delhi District 8,2021,Q2,Filariasis,3003,128,4.26,5,106,32,61,Sub-Centre,56.0,65.7,Active
Chhattisgarh,Chhattisgarh District 5,2018,Q1,Tuberculosis,4371,19,0.43,37,629,99,124,District Hospital,89.8,52.4,Contained
Karnataka,Karnataka District 7,2018,Q2,Japanese Encephalitis,2074,46,2.22,33,501,158,364,Primary Health Centre,64.9,56.4,Contained
Odisha,Odisha District 5,2018,Q1,Dengue,7680,253,3.29,26,740,261,728,Primary Health Centre,90.3,53.8,Active
Tripura,Tripura District 7,2021,Q2,Typhoid,8538,149,1.75,19,403,140,174,Primary Health Centre,85.7,66.7,Active
Tripura,Tripura District 4,2022,Q3,COVID-19,415,19,4.58,53,1152,366,795,Sub-Centre,77.7,51.1,Active
Sikkim,Sikkim District 1,2020,Q2,Japanese Encephalitis,7728,278,3.60,18,336,145,415,District Hospital,83.5,75.0,Active
Mizoram,Mizoram District 6,2021,Q2,Cholera,9075,335,3.69,12,347,63,70,Primary Health Centre,81.6,45.2,Active
Andhra Pradesh,Andhra District 3,2019,Q2,Japanese Encephalitis,2847,118,4.14,25,432,153,388,Community Health Centre,91.3,57.7,Active
Odisha,Odisha District 3,2018,Q4,Kala-azar,925,1,0.11,16,319,129,204,Community Health Centre,91.3,46.8,Active
Karnataka,Karnataka District 8,2020,Q2,COVID-19,3712,125,3.37,12,280,112,323,Primary Health Centre,70.2,52.8,Active
Rajasthan,Rajasthan District 4,2023,Q4,Malaria,2114,58,2.74,16,390,153,396,Primary Health Centre,59.7,63.6,Active
Uttarakhand,Uttarakhand District 8,2022,Q2,Diarrhoea,6999,29,0.41,22,356,105,300,District Hospital,68.4,69.5,Contained
Tripura,Tripura District 3,2022,Q2,Hepatitis B,9068,336,3.71,23,681,238,380,Sub-Centre,55.9,41.5,Active
Bihar,Bihar District 1,2019,Q4,Hepatitis B,5514,212,3.84,48,1152,209,549,Urban PHC,92.5,64.4,Active
Punjab,Punjab District 3,2019,Q1,Leptospirosis,6709,107,1.59,45,465,199,451,Community Health Centre,83.9,40.2,Active
Gujarat,Gujarat District 8,2020,Q1,Cholera,3008,98,3.26,46,1032,195,248,Sub-Centre,57.2,72.7,Active
Karnataka,Karnataka District 4,2023,Q4,Pneumonia,4600,93,2.02,44,1099,213,523,Sub-Centre,83.1,53.8,Active
Bihar,Bihar District 2,2020,Q2,COVID-19,4900,197,4.02,14,338,78,232,Sub-Centre,83.4,66.2,Active
Manipur,Manipur District 7,2023,Q1,Japanese Encephalitis,900,37,4.11,48,1220,536,1278,Community Health Centre,81.6,69.4,Contained
Tripura,Tripura District 7,2023,Q1,Japanese Encephalitis,211,1,0.47,31,563,142,311,Sub-Centre,74.7,65.4,Contained
Andhra Pradesh,Andhra District 2,2023,Q3,Dengue,117,1,0.85,28,827,110,137,District Hospital,67.0,69.3,Contained
West Bengal,West District 1,2020,Q4,Pneumonia,8246,159,1.93,7,138,14,15,Sub-Centre,76.7,41.9,Active
Assam,Assam District 2,2021,Q2,Cholera,4577,70,1.53,27,601,172,365,District Hospital,70.2,42.4,Active
Odisha,Odisha District 1,2018,Q1,Japanese Encephalitis,8445,250,2.96,23,390,47,68,Community Health Centre,87.3,68.0,Active
Uttar Pradesh,Uttar District 6,2019,Q3,Tuberculosis,5928,89,1.50,8,233,24,24,Primary Health Centre,74.0,55.3,Active
Assam,Assam District 5,2022,Q1,Filariasis,6218,21,0.34,27,715,142,147,District Hospital,85.0,41.2,Active
Chandigarh,Chandigarh District 1,2022,Q2,Malaria,9030,227,2.51,25,507,241,319,Community Health Centre,92.5,52.3,Active
Manipur,Manipur District 1,2020,Q2,Tuberculosis,1013,22,2.17,6,166,32,46,Community Health Centre,84.3,47.9,Contained
Kerala,Kerala District 1,2021,Q2,Tuberculosis,7370,120,1.63,44,1119,228,301,Sub-Centre,61.8,58.7,Active
Mizoram,Mizoram District 3,2018,Q1,Chikungunya,3061,45,1.47,32,583,236,542,Community Health Centre,67.9,44.3,Active
Telangana,Telangana District 3,2019,Q1,Cholera,8632,133,1.54,5,69,33,56,District Hospital,55.7,67.2,Active
Andhra Pradesh,Andhra District 1,2021,Q4,COVID-19,2185,104,4.76,29,855,172,478,District Hospital,58.2,63.0,Active
Bihar,Bihar District 8,2018,Q4,Leptospirosis,1978,70,3.54,6,72,25,66,Sub-Centre,78.0,42.5,Active
Manipur,Manipur District 2,2020,Q1,Chikungunya,8572,311,3.63,35,552,179,234,Sub-Centre,85.6,58.4,Active
Assam,Assam District 5,2023,Q4,Typhoid,2794,28,1.00,35,926,275,389,Community Health Centre,90.1,70.0,Active
Telangana,Telangana District 2,2020,Q4,Chikungunya,5495,13,0.24,13,198,52,122,Community Health Centre,84.7,59.2,Active
Kerala,Kerala District 6,2022,Q2,Cholera,327,12,3.67,19,326,133,326,Sub-Centre,58.2,59.6,Active
Uttarakhand,Uttarakhand District 3,2021,Q2,Japanese Encephalitis,6305,296,4.69,48,1317,183,189,Urban PHC,60.7,59.5,Active
Maharashtra,Maharashtra District 7,2023,Q1,Cholera,2104,32,1.52,9,257,85,233,District Hospital,91.1,42.0,Active
Chandigarh,Chandigarh District 1,2022,Q4,Dengue,552,6,1.09,11,329,78,204,Community Health Centre,84.7,70.5,Active
Jammu & Kashmir,Jammu District 3,2021,Q3,Leptospirosis,4645,157,3.38,19,380,148,221,Primary Health Centre,69.6,55.8,Active
Meghalaya,Meghalaya District 5,2022,Q4,Typhoid,4519,142,3.14,53,1547,541,1199,Sub-Centre,80.0,56.7,Active
West Bengal,West District 4,2021,Q3,Dengue,8790,84,0.96,43,1169,559,770,District Hospital,91.6,40.1,Active
Manipur,Manipur District 7,2018,Q2,Pneumonia,6671,211,3.16,9,139,46,82,Community Health Centre,93.2,58.0,Active
Delhi,Delhi District 5,2019,Q1,Cholera,5024,180,3.58,43,866,143,237,Primary Health Centre,81.3,59.8,Contained
Haryana,Haryana District 8,2018,Q3,Japanese Encephalitis,7879,100,1.27,49,1229,541,887,Primary Health Centre,66.4,68.8,Contained
Telangana,Telangana District 8,2022,Q2,COVID-19,7309,37,0.51,15,287,86,122,Urban PHC,61.7,62.7,Active
Delhi,Delhi District 2,2018,Q1,Malaria,3725,27,0.72,21,356,155,396,Community Health Centre,55.5,67.7,Active
Chhattisgarh,Chhattisgarh District 8,2022,Q2,Pneumonia,160,0,0.00,41,639,284,818,Primary Health Centre,73.5,77.9,Active
Jammu & Kashmir,Jammu District 4,2021,Q2,Leptospirosis,5565,244,4.38,18,528,218,619,Primary Health Centre,68.1,64.3,Contained
Tamil Nadu,Tamil District 2,2018,Q1,Typhoid,4876,187,3.84,30,757,363,599,Community Health Centre,76.7,54.5,Active
Arunachal Pradesh,Arunachal District 4,2018,Q1,COVID-19,8972,16,0.18,25,542,231,631,Primary Health Centre,92.6,56.0,Active
Ladakh,Ladakh District 3,2020,Q1,Filariasis,5407,51,0.94,25,290,108,291,District Hospital,69.0,63.9,Active
Ladakh,Ladakh District 5,2022,Q4,Malaria,3677,84,2.28,42,1142,388,406,Community Health Centre,89.3,49.9,Contained
Jammu & Kashmir,Jammu District 6,2022,Q2,Chikungunya,8278,320,3.87,14,197,76,107,District Hospital,93.4,53.4,Active
Manipur,Manipur District 4,2019,Q4,Typhoid,3287,121,3.68,46,1041,154,203,Urban PHC,90.3,40.7,Contained
Nagaland,Nagaland District 2,2020,Q3,Diarrhoea,6148,157,2.55,33,521,230,317,Community Health Centre,56.6,74.8,Contained
Punjab,Punjab District 1,2018,Q2,Filariasis,8473,410,4.84,31,506,144,271,Community Health Centre,78.1,44.8,Active
Andhra Pradesh,Andhra District 3,2023,Q1,Typhoid,4310,129,2.99,45,758,76,219,District Hospital,94.7,68.2,Active
Maharashtra,Maharashtra District 8,2019,Q4,COVID-19,4280,181,4.23,33,431,69,190,Primary Health Centre,92.7,55.1,Active
Chhattisgarh,Chhattisgarh District 5,2020,Q3,Kala-azar,8971,429,4.78,12,131,44,76,Sub-Centre,61.8,50.1,Active
Telangana,Telangana District 4,2022,Q2,Filariasis,7939,21,0.26,50,698,105,244,District Hospital,58.5,56.8,Active
Tripura,Tripura District 5,2020,Q3,Filariasis,8481,54,0.64,51,864,324,904,Urban PHC,83.1,52.8,Contained
Kerala,Kerala District 3,2021,Q3,Malaria,7585,16,0.21,29,466,164,331,Community Health Centre,56.8,74.7,Active
Ladakh,Ladakh District 2,2023,Q4,Leptospirosis,7887,232,2.94,48,879,214,381,Urban PHC,72.5,74.4,Active
Jammu & Kashmir,Jammu District 3,2018,Q1,Chikungunya,2682,50,1.86,9,189,55,72,District Hospital,65.8,54.0,Active
Delhi,Delhi District 8,2022,Q1,Kala-azar,8497,90,1.06,35,429,70,194,Community Health Centre,58.9,47.9,Active
Bihar,Bihar District 7,2019,Q1,Malaria,5648,184,3.26,12,159,23,33,Urban PHC,76.7,72.2,Active
Manipur,Manipur District 1,2023,Q4,Japanese Encephalitis,6406,18,0.28,41,922,179,353,Community Health Centre,62.5,66.1,Contained
Telangana,Telangana District 3,2023,Q1,Chikungunya,7311,131,1.79,33,404,73,170,District Hospital,66.4,46.1,Active
Madhya Pradesh,Madhya District 4,2019,Q2,Leptospirosis,1037,48,4.63,52,818,87,159,Sub-Centre,83.9,75.0,Active
Nagaland,Nagaland District 3,2019,Q4,Cholera,5605,36,0.64,27,535,227,284,District Hospital,76.3,74.1,Active
Tripura,Tripura District 1,2021,Q4,Japanese Encephalitis,7853,61,0.78,28,285,71,107,Primary Health Centre,92.3,62.1,Contained
Jharkhand,Jharkhand District 5,2021,Q3,Kala-azar,8784,356,4.05,53,1079,494,855,District Hospital,88.3,70.4,Contained
Delhi,Delhi District 4,2019,Q3,Japanese Encephalitis,2243,45,2.01,54,628,164,385,Sub-Centre,63.4,77.0,Active
Delhi,Delhi District 4,2018,Q4,Kala-azar,5806,110,1.89,17,393,131,225,Urban PHC,93.2,64.5,Active
Jammu & Kashmir,Jammu District 1,2022,Q4,Filariasis,6334,42,0.66,25,346,153,195,Primary Health Centre,66.1,76.6,Active
Jammu & Kashmir,Jammu District 5,2019,Q2,Cholera,1743,18,1.03,39,585,87,245,Community Health Centre,92.0,47.3,Active
Jharkhand,Jharkhand District 8,2018,Q4,Kala-azar,2909,138,4.74,46,1020,415,1114,Primary Health Centre,79.4,47.4,Active
Tamil Nadu,Tamil District 7,2022,Q1,Tuberculosis,7833,204,2.60,8,157,60,161,Community Health Centre,80.2,43.1,Contained
Bihar,Bihar District 2,2021,Q2,Cholera,4261,197,4.62,16,240,69,137,Primary Health Centre,75.2,71.8,Active
Jammu & Kashmir,Jammu District 1,2023,Q1,Hepatitis B,3079,42,1.36,26,680,192,440,Community Health Centre,86.7,70.7,Active
Puducherry,Puducherry District 2,2020,Q3,Japanese Encephalitis,1190,55,4.62,12,274,48,117,Primary Health Centre,67.5,60.3,Contained
Goa,Goa District 4,2023,Q3,Filariasis,2139,95,4.44,52,1077,503,754,Urban PHC,56.1,73.2,Contained
Madhya Pradesh,Madhya District 5,2018,Q4,Tuberculosis,2668,66,2.47,8,192,55,82,Sub-Centre,77.0,47.2,Active
Nagaland,Nagaland District 2,2019,Q1,Filariasis,1173,27,2.30,45,764,86,232,Community Health Centre,67.5,79.7,Active
Jammu & Kashmir,Jammu District 1,2022,Q4,Typhoid,5420,201,3.71,48,895,437,951,Community Health Centre,72.3,57.5,Active
Bihar,Bihar District 6,2023,Q4,Chikungunya,8395,379,4.51,53,1433,357,708,Primary Health Centre,78.2,76.2,Active
Chhattisgarh,Chhattisgarh District 4,2018,Q2,Typhoid,456,19,4.17,31,383,133,159,Primary Health Centre,68.3,63.9,Active
Delhi,Delhi District 8,2019,Q1,Pneumonia,3711,121,3.26,51,1259,273,787,Sub-Centre,77.5,65.6,Active
Jharkhand,Jharkhand District 4,2019,Q1,Typhoid,3904,190,4.87,47,572,179,329,Community Health Centre,79.6,41.8,Contained
Sikkim,Sikkim District 3,2021,Q1,COVID-19,9048,420,4.64,34,465,62,77,Sub-Centre,89.3,55.2,Contained
Rajasthan,Rajasthan District 5,2020,Q3,Kala-azar,2529,31,1.23,31,763,110,251,Urban PHC,89.7,55.4,Contained
West Bengal,West District 2,2023,Q4,Typhoid,5447,182,3.34,18,377,108,184,Primary Health Centre,88.7,62.1,Contained
Uttar Pradesh,Uttar District 3,2021,Q2,Tuberculosis,567,25,4.41,38,668,93,159,Sub-Centre,73.4,54.3,Active
Meghalaya,Meghalaya District 7,2019,Q2,Dengue,509,1,0.20,15,336,163,402,Sub-Centre,59.9,51.5,Active
Manipur,Manipur District 1,2022,Q2,Pneumonia,1095,21,1.92,18,333,59,154,Urban PHC,93.1,66.3,Contained
Chhattisgarh,Chhattisgarh District 3,2019,Q1,Kala-azar,7638,84,1.10,13,360,94,106,Sub-Centre,59.3,62.3,Active
Nagaland,Nagaland District 2,2023,Q3,Kala-azar,7448,267,3.58,30,810,327,697,District Hospital,64.5,70.4,Active
Bihar,Bihar District 6,2018,Q3,Filariasis,5927,233,3.93,18,237,64,66,District Hospital,59.8,45.7,Contained
Puducherry,Puducherry District 3,2020,Q2,Malaria,3846,16,0.42,51,1425,676,1747,Sub-Centre,72.4,55.7,Active
Telangana,Telangana District 8,2018,Q4,Japanese Encephalitis,397,17,4.28,30,453,51,54,Community Health Centre,59.5,59.8,Contained
Uttarakhand,Uttarakhand District 5,2020,Q1,COVID-19,3634,149,4.10,5,127,62,123,Sub-Centre,58.5,51.9,Active
Rajasthan,Rajasthan District 6,2021,Q2,Pneumonia,3012,70,2.32,39,793,301,542,Sub-Centre,67.0,62.3,Active
Jammu & Kashmir,Jammu District 2,2020,Q3,Typhoid,6747,63,0.93,43,1142,210,249,Community Health Centre,85.6,78.6,Active
Uttarakhand,Uttarakhand District 2,2019,Q1,Diarrhoea,8342,240,2.88,27,519,252,360,Primary Health Centre,60.8,50.7,Contained
Jharkhand,Jharkhand District 8,2020,Q4,Japanese Encephalitis,1649,10,0.61,34,970,179,264,Primary Health Centre,70.1,40.0,Active
Manipur,Manipur District 7,2023,Q4,Chikungunya,5883,112,1.90,17,281,104,142,Urban PHC,73.2,57.9,Active
Bihar,Bihar District 2,2023,Q2,Chikungunya,860,20,2.33,34,836,251,434,Primary Health Centre,70.9,44.9,Active
Madhya Pradesh,Madhya District 1,2022,Q4,Malaria,5308,35,0.66,52,580,122,243,Community Health Centre,90.4,66.1,Active
Manipur,Manipur District 5,2022,Q1,Chikungunya,2363,12,0.51,36,897,337,584,Urban PHC,84.2,42.5,Active
Jharkhand,Jharkhand District 4,2021,Q1,Malaria,1126,10,0.89,39,417,45,132,Urban PHC,76.3,49.0,Active
Sikkim,Sikkim District 3,2020,Q2,Typhoid,3202,34,1.06,8,152,22,43,District Hospital,64.9,44.5,Active
Haryana,Haryana District 8,2020,Q4,Typhoid,5018,16,0.32,41,1143,255,429,District Hospital,75.9,74.3,Active
Rajasthan,Rajasthan District 6,2020,Q4,Hepatitis B,415,0,0.00,31,500,95,101,Sub-Centre,91.3,74.2,Active
Mizoram,Mizoram District 4,2019,Q1,Hepatitis B,2499,89,3.56,37,867,214,432,Community Health Centre,88.0,77.6,Contained
Karnataka,Karnataka District 2,2021,Q4,Hepatitis B,5451,56,1.03,41,531,231,231,Sub-Centre,60.3,77.2,Active
Karnataka,Karnataka District 6,2020,Q1,Typhoid,5263,180,3.42,45,1279,527,1304,Sub-Centre,61.9,41.0,Contained
Punjab,Punjab District 3,2021,Q1,Typhoid,5424,265,4.89,33,337,159,175,Sub-Centre,93.3,48.0,Active
Himachal Pradesh,Himachal District 7,2023,Q2,Leptospirosis,2895,39,1.35,15,263,82,145,Sub-Centre,66.6,70.3,Active
Gujarat,Gujarat District 8,2018,Q3,Tuberculosis,791,38,4.80,15,396,101,258,District Hospital,83.7,56.1,Active
Arunachal Pradesh,Arunachal District 7,2020,Q1,Leptospirosis,1184,56,4.73,30,618,150,184,Primary Health Centre,67.7,63.5,Contained
Delhi,Delhi District 7,2022,Q4,Japanese Encephalitis,1682,37,2.20,34,482,151,296,Sub-Centre,73.6,53.5,Active
